ucname_file,error_flag,nome,Pré-Requisitos,Carga Horária Total,Carga Horária Prática,Carga Horária Teórica,Carga Horária Extensão
segurança computacional,False,segurança computacional,sistemas operacionais,72,36,36,0
seleção de materiais,False,seleção de materiais,ciência e tecnologia dos materiais,36,0,36,0
seminários interdisciplinares,False,seminários interdisciplinares,não há,36,0,36,0
sistemas distribuídos,False,sistemas distribuídos,sistemas operacionais,72,18,54,0
sistemas embarcados,False,sistemas embarcados,não há,72,36,36,0
sistemas mecânicos,False,sistemas mecânicos,mecânica geral,72,0,72,0
sistemas operacionais,False,sistemas operacionais,algoritmos e estruturas de dados i,72,18,54,0
sustentabilidade no gerenciamento de resíduos,False,sustentabilidade no gerenciamento de resíduos,não há,72,36,36,0
séries e equações diferenciais ordinárias,False,séries e equações diferenciais ordinárias,cálculo em uma variável,72,10,62,0
síntese de polímeros,False,síntese de polímeros,química orgânica; materiais poliméricos,72,20,52,0
tecnologia e meio ambiente,False,tecnologia e meio ambiente,não há,36,0,36,0
tecnologia em tintas e vernizes,False,tecnologia em tintas e vernizes,materiais poliméricos,72,12,60,0
tecnologia social: práxis e contra-hegemonia,False,tecnologia social: práxis e contra-hegemonia,não há,36,0,36,0
teoria dos grafos,False,teoria dos grafos,projeto e análise de algoritmos,72,10,62,0
teoria dos números e criptografia,False,teoria dos números e criptografia,matemática discreta,72,10,62,0
teorias administrativas,False,teorias administrativas,não há,36,0,36,0
termodinâmica dos sólidos,False,termodinâmica dos sólidos,química geral,72,0,72,0
termodinâmica química,False,termodinâmica química,química geral; cálculo em uma variável,72,0,72,0
trajetorias da inovação,False,trajetórias da inovação,não há,36,0,36,0
transdução de grandezas biomédicas,False,transdução de grandezas biomédicas,circuitos elétricos ii,72,20,52,0
tratamentos térmicos,False,tratamentos térmicos,materiais metálicos,36,8,28,0
técnicas experimentais,False,técnicas experimentais,ciência e tecnologia dos materiais,72,24,48,0
tópicos em ciência e tecnologia iii,False,tópicos em ciência e tecnologia iii,não há,36,0,36,0
tópicos em estatística,False,tópicos em estatística,probabilidade e estatística,72,36,36,0
tópicos em história da matemática,False,tópicos em história da matemática,não há,72,0,72,0
tópicos em matemática computacional i,False,tópicos em matemática computacional i,não há,72,36,36,0
tópicos em ressonância magnética nuclear,False,tópicos em ressonância magnética nuclear,fenômenos eletromagnéticos,72,0,72,0
tópicos em tecnologia da computação i,False,tópicos em tecnologia da computação i,algoritmos e estruturas de dados i,72,36,36,0
tópicos em tecnologia da computação ii,False,tópicos em tecnologia da computação ii,algoritmos e estruturas de dados i,72,36,36,0
tópicos em tecnologia da computação iii,False,tópicos em tecnologia da computação iii,algoritmos e estruturas de dados i,72,36,36,0
tópicos em tecnologia da computação iv,False,tópicos em tecnologia da computação iv,algoritmos e estruturas de dados i,72,36,36,0
tópicos em tecnologia da computação v,False,tópicos em tecnologia da computação v,algoritmos e estruturas de dados i,72,36,36,0
tópicos especiais em ciência e engenharia de materiais ii,False,tópicos especiais em ciência e engenharia de materiais ii,não há,72,0,72,0
validação e verificação de software,False,validação e verificação de software,engenharia de software,72,36,36,0
"vidros, vitrocerâmicas e vidrados",False,"vidros, vitrocerâmicos e vidrados",materiais cerâmicos,72,18,54,0
álgebra linear,False,álgebra linear,geometria analítica,72,10,62,0
álgebra linear computacional,False,álgebra linear computacional,cálculo numérico,72,22,50,0
álgebra linear ii,False,álgebra linear ii,álgebra linear,72,0,72,0
