"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"química orgânica",False,"química orgânica","química geral",72.0,0.0,72.0,0.0,204,"006","1",2.0
"química orgânica experimental",False,"química orgânica experimental","química geral; química geral experimental",72.0,72.0,0.0,0.0,205,"006","1",1.0
"radioterapia para engenharia",False,"radioterapia para engenharia","instrumentos biomédicos",72.0,0.0,72.0,0.0,206,"004","3",1.0
"realidade virtual e aumentada",False,"realidade virtual e aumentada","algoritmos e estruturas de dados i",72.0,18.0,54.0,0.0,207,"005","2",1.0
"reciclagem de materiais",False,"reciclagem de materiais","ciência e tecnologia dos materiais",36.0,0.0,36.0,0.0,208,"005","2",1.0
"redes de computadores",False,"redes de computadores","programação orientada a objetos",72.0,20.0,52.0,0.0,209,"004","3",2.0
"relações étnico-raciais e cultura afro-brasileira e indígena",False,"relações étnico-raciais e cultura afro-brasileira e indígena","não há",36.0,0.0,36.0,0.0,210,"000","",""
"reologia dos materiais",False,"reologia dos materiais","materiais poliméricos, fenômenos de transporte",36.0,6.0,30.0,0.0,211,"004","3",1.0
"resistência dos materiais",False,"resistência dos materiais","mecânica geral",72.0,0.0,72.0,0.0,212,"005","2",3.0
"resolução de problemas via modelagem matemática",False,"resolução de problemas via modelagem","cálculo em várias variáveis, geometria analítica, lógica de programação",72.0,52.0,20.0,0.0,213,"005","2",1.0
"segurança computacional",False,"segurança computacional","sistemas operacionais",72.0,36.0,36.0,0.0,214,"004","3",1.0
"seleção de materiais",False,"seleção de materiais","ciência e tecnologia dos materiais",36.0,0.0,36.0,0.0,215,"005","2",1.0
"seminários interdisciplinares",False,"seminários interdisciplinares","não há",36.0,0.0,36.0,0.0,216,"000","",""
"sistemas distribuídos",False,"sistemas distribuídos","sistemas operacionais",72.0,18.0,54.0,0.0,217,"004","3",1.0
"sistemas embarcados",False,"sistemas embarcados","não há",72.0,36.0,36.0,0.0,218,"007","0",2.0
"sistemas mecânicos",False,"sistemas mecânicos","mecânica geral",72.0,0.0,72.0,0.0,219,"005","2",2.0
"sistemas operacionais",False,"sistemas operacionais","algoritmos e estruturas de dados i",72.0,18.0,54.0,0.0,220,"005","2",3.0
"sustentabilidade no gerenciamento de resíduos",False,"sustentabilidade no gerenciamento de resíduos","não há",72.0,36.0,36.0,0.0,221,"000","",""
"séries e equações diferenciais ordinárias",False,"séries e equações diferenciais ordinárias","cálculo em uma variável",72.0,10.0,62.0,0.0,222,"006","1",4.0
"síntese de polímeros",False,"síntese de polímeros","química orgânica; materiais poliméricos",72.0,20.0,52.0,0.0,223,"004","3",1.0
"tecnologia e meio ambiente",False,"tecnologia e meio ambiente","não há",36.0,0.0,36.0,0.0,224,"000","",""
"tecnologia em tintas e vernizes",False,"tecnologia em tintas e vernizes","materiais poliméricos",72.0,12.0,60.0,0.0,225,"004","3",1.0
"tecnologia social: práxis e contra-hegemonia",False,"tecnologia social: práxis e contra-hegemonia","não há",36.0,0.0,36.0,0.0,226,"000","",""
"teoria dos grafos",False,"teoria dos grafos","projeto e análise de algoritmos",72.0,10.0,62.0,0.0,227,"003","4",1.0
"teoria dos números e criptografia",False,"teoria dos números e criptografia","matemática discreta",72.0,10.0,62.0,0.0,228,"006","1",1.0
"teorias administrativas",False,"teorias administrativas","não há",36.0,0.0,36.0,0.0,229,"007","0",2.0
"termodinâmica dos sólidos",False,"termodinâmica dos sólidos","química geral",72.0,0.0,72.0,0.0,230,"006","1",2.0
"termodinâmica química",False,"termodinâmica química","química geral; cálculo em uma variável",72.0,0.0,72.0,0.0,231,"006","1",1.0
"trajetorias da inovação",False,"trajetórias da inovação","não há",36.0,0.0,36.0,0.0,232,"000","",""
"transdução de grandezas biomédicas",False,"transdução de grandezas biomédicas","circuitos elétricos ii",72.0,20.0,52.0,0.0,233,"005","2",2.0
"tratamentos térmicos",False,"tratamentos térmicos","materiais metálicos",36.0,8.0,28.0,0.0,234,"004","3",1.0
"técnicas experimentais",False,"técnicas experimentais","ciência e tecnologia dos materiais",72.0,24.0,48.0,0.0,235,"005","2",1.0
"tópicos em ciência e tecnologia iii",False,"tópicos em ciência e tecnologia iii","não há",36.0,0.0,36.0,0.0,236,"000","",""
"tópicos em estatística",False,"tópicos em estatística","probabilidade e estatística",72.0,36.0,36.0,0.0,237,"005","2",1.0
"tópicos em história da matemática",False,"tópicos em história da matemática","não há",72.0,0.0,72.0,0.0,238,"000","",""
"tópicos em matemática computacional i",False,"tópicos em matemática computacional i","não há",72.0,36.0,36.0,0.0,239,"000","",""
"tópicos em ressonância magnética nuclear",False,"tópicos em ressonância magnética nuclear","fenômenos eletromagnéticos",72.0,0.0,72.0,0.0,240,"006","1",1.0
"tópicos em tecnologia da computação i",False,"tópicos em tecnologia da computação i","algoritmos e estruturas de dados i",72.0,36.0,36.0,0.0,241,"005","2",1.0
"tópicos em tecnologia da computação ii",False,"tópicos em tecnologia da computação ii","algoritmos e estruturas de dados i",72.0,36.0,36.0,0.0,242,"005","2",1.0
"tópicos em tecnologia da computação iii",False,"tópicos em tecnologia da computação iii","algoritmos e estruturas de dados i",72.0,36.0,36.0,0.0,243,"005","2",1.0
"tópicos em tecnologia da computação iv",False,"tópicos em tecnologia da computação iv","algoritmos e estruturas de dados i",72.0,36.0,36.0,0.0,244,"005","2",1.0
"tópicos em tecnologia da computação v",False,"tópicos em tecnologia da computação v","algoritmos e estruturas de dados i",72.0,36.0,36.0,0.0,245,"005","2",1.0
"tópicos especiais em ciência e engenharia de materiais ii",False,"tópicos especiais em ciência e engenharia de materiais ii","não há",72.0,0.0,72.0,0.0,246,"000","",""
"validação e verificação de software",False,"validação e verificação de software","engenharia de software",72.0,36.0,36.0,0.0,247,"003","4",1.0
"vidros, vitrocerâmicas e vidrados",False,"vidros, vitrocerâmicos e vidrados","materiais cerâmicos",72.0,18.0,54.0,0.0,248,"004","3",1.0
"álgebra linear",False,"álgebra linear","geometria analítica",72.0,10.0,62.0,0.0,249,"006","1",2.0
"álgebra linear computacional",False,"álgebra linear computacional","cálculo numérico",72.0,22.0,50.0,0.0,250,"005","2",1.0
"álgebra linear ii",False,"álgebra linear ii","álgebra linear",72.0,0.0,72.0,0.0,251,"005","2",1.0
