"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"cálculo em uma variável",False,"cálculo em uma variável","não há",108.0,36.0,72.0,0.0,50,"007","0",5.0
"cálculo em várias variáveis",False,"cálculo em várias variáveis","cálculo em uma variável; geometria analítica",72.0,10.0,62.0,0.0,51,"006","1",2.0
"cálculo numérico",False,"cálculo numérico","cálculo em uma variável; geometria analítica",72.0,14.0,58.0,0.0,52,"006","1",2.0
"desenho técnico assistido por computador",False,"desenho técnico assistido por computador","desenho técnico básico",36.0,36.0,0.0,0.0,53,"006","1",1.0
"desenho técnico básico",False,"desenho técnico básico","não há",36.0,18.0,18.0,0.0,54,"007","0",2.0
"desenvolvimento de games",False,"desenvolvimento de games","algoritmos e estruturas de dados i",72.0,36.0,36.0,0.0,55,"005","2",1.0
"desenvolvimento de novos negócios em engenharia biomédica",False,"desenvolvimento de novos negócios em engenharia","microeconomia",36.0,18.0,18.0,0.0,56,"006","1",1.0
"desenvolvimento integrado de produtos",False,"desenvolvimento integrado de produtos","desenho técnico básico",36.0,0.0,36.0,0.0,57,"006","1",1.0
"ecologia avançada",False,"ecologia avançada","introdução à ecologia",72.0,0.0,72.0,0.0,58,"006","1",1.0
"econometria",False,"econometria","probabilidade e estatística; cálculo em várias variáveis",72.0,22.0,50.0,0.0,59,"005","2",1.0
"efeitos biológicos das radiações ionizantes",False,"efeitos biológicos das radiações ionizantes","instrumentos biomédicos",72.0,0.0,72.0,0.0,60,"004","3",1.0
"elementos de álgebra",False,"elementos de álgebra","não há",72.0,0.0,72.0,0.0,61,"000","",""
"eletrônica avançada",False,"eletrônica avançada","circuitos elétricos ii",72.0,8.0,64.0,0.0,62,"005","2",2.0
"empreendedorismo",False,"empreendedorismo","não há desejável teorias administrativas",36.0,0.0,36.0,0.0,63,"000","",""
"empreendedorismo em biotecnologia",False,"empreendedorismo em biotecnologia","não há",36.0,0.0,36.0,0.0,64,"000","",""
"engenharia bioquímica i",False,"engenharia bioquímica i","fundamentos de engenharia bioquímica; microbiologia geral",72.0,0.0,72.0,0.0,65,"004","3",2.0
"engenharia bioquímica ii",False,"engenharia bioquímica ii","engenharia bioquímica i",72.0,0.0,72.0,0.0,66,"003","4",1.0
"engenharia clínica hospitalar",False,"engenharia clinica hospitalar aplicada","introdução à eletrotécnica",72.0,36.0,36.0,0.0,67,"004","3",1.0
"engenharia de produtos cerâmicos",False,"engenharia de produtos cerâmicos","matérias-primas cerâmicas; processamento de materiais cerâmicos",72.0,0.0,72.0,0.0,68,"003","4",1.0
"engenharia de software",False,"engenharia de software","programação orientada a objetos",72.0,36.0,36.0,0.0,69,"004","3",2.0
"engenharia médica aplicada",False,"engenharia médica aplicada","fisiologia humana; imagens biomédicas; transdução de grandezas biomédicas",72.0,36.0,36.0,0.0,70,"003","4",1.0
"engenharia tecidual e medicina regenerativa",False,"engenharia tecidual e medicina regenerativa","biologia molecular da célula; fisiologia humana",72.0,0.0,72.0,0.0,71,"005","2",1.0
"ensaios de materiais",False,"ensaios de materiais","ciência e tecnologia dos materiais",72.0,20.0,52.0,0.0,72,"005","2",1.0
"equações diferenciais ordinárias",False,"equações diferenciais ordinárias","álgebra linear; séries e equações diferenciais ordinárias",72.0,0.0,72.0,0.0,73,"005","2",1.0
"equações diferenciais parciais",False,"equações diferenciais parciais","cálculo em várias variáveis; séries e equações diferenciais ordinárias",72.0,0.0,72.0,0.0,74,"005","2",1.0
"espaços métricos",False,"espaços métricos","cálculo em várias variáveis",72.0,0.0,72.0,0.0,75,"005","2",1.0
"estrutura e propriedades de polímeros",False,"estrutura e propriedades de polímeros","materiais poliméricos",72.0,12.0,60.0,0.0,76,"004","3",1.0
"farmacologia molecular",False,"farmacologia molecular","não há",72.0,0.0,72.0,0.0,77,"000","",""
"fenômenos de transporte",False,"fenômenos de transporte","séries e equações diferenciais ordinárias; mecânica geral",72.0,0.0,72.0,0.0,78,"005","2",2.0
"fenômenos do contínuo",False,"fenômenos do contínuo","não há",72.0,0.0,72.0,0.0,79,"007","0",2.0
"fenômenos do contínuo experimental",False,"fenômenos do contínuo experimental","não há",36.0,36.0,0.0,0.0,80,"000","",""
"fenômenos eletromagnéticos",False,"fenômenos eletromagnéticos","não há",72.0,0.0,72.0,0.0,81,"007","0",4.0
"fenômenos eletromagnéticos experimental",False,"fenômenos eletromagnéticos experimental","não há",36.0,36.0,0.0,0.0,82,"000","",""
"fenômenos mecânicos",False,"fenômenos mecânicos","não há",72.0,0.0,72.0,0.0,83,"007","0",5.0
"fenômenos mecânicos experimental",False,"fenômenos mecânicos experimental","não há",36.0,36.0,0.0,0.0,84,"000","",""
"fisiologia humana i",False,"fisiologia humana","não há",72.0,12.0,60.0,0.0,85,"007","0",2.0
"fisiologia humana ii",False,"fisiologia humana ii","fisiologia humana i",72.0,12.0,60.0,0.0,86,"006","1",1.0
"fisiopatologia cardiorrespiratória",False,"fisiopatologia cardiorrespiratória","fisiologia humana i",72.0,0.0,72.0,0.0,87,"006","1",1.0
"fisiopatologia clínica dos sistemas humanos",False,"fisiopatologia clínica dos sistemas humanos","fisiologia humana;",72.0,0.0,72.0,0.0,88,"006","1",1.0
"fundamentos de biologia moderna",False,"fundamentos da biologia moderna","não há",72.0,0.0,72.0,0.0,89,"007","0",4.0
"fundamentos de engenharia bioquímica",False,"fundamentos da engenharia bioquímica","matemática geral; física geral",72.0,0.0,72.0,0.0,90,"005","2",3.0
"fundamentos de matlab aplicado à engenharia",False,"fundamentos do matlab aplicado a engenharia","não há",72.0,36.0,36.0,0.0,91,"000","",""
"fundamentos de mecânica celeste",False,"fundamentos da mecânica celeste","fenômenos mecânicos; séries e equações diferenciais ordinárias",72.0,10.0,62.0,0.0,92,"005","2",1.0
"funções analíticas",False,"funções analíticas","cálculo em várias variáveis; séries e equações diferenciais ordinárias",72.0,10.0,62.0,0.0,93,"005","2",1.0
"física geral",False,"física geral","fenômenos mecânicos",72.0,0.0,72.0,0.0,94,"006","1",4.0
"física moderna",False,"física moderna","fenômenos mecânicos; fenômenos do contínuo; fenômenos eletromagnéticos",72.0,0.0,72.0,0.0,95,"006","1",1.0
"geometria analítica",False,"geometria analítica","não há",72.0,8.0,64.0,0.0,96,"007","0",5.0
"gestão da inovação",False,"gestão da inovação","não há",36.0,0.0,36.0,0.0,97,"000","",""
"gestão de projetos",False,"gestão de projetos","não há",36.0,0.0,36.0,0.0,98,"000","",""
"imagens biomédicas",False,"imagens biomédicas","análise de sinais; algoritmos em bioinformática",72.0,36.0,36.0,0.0,99,"004","3",2.0
"imunologia aplicada",False,"imunologia aplicada","imunologia geral",72.0,0.0,72.0,0.0,100,"004","3",1.0
"imunologia geral",False,"imunologia geral","biologia molecular da célula",72.0,0.0,72.0,0.0,101,"005","2",2.0
"inferência e análise de regressão",False,"inferência e análise de regressão","probabilidade e estatística",72.0,16.0,56.0,0.0,102,"005","2",1.0
"instrumentos biomédicos i",False,"instrumentos biomédicos","circuitos elétricos ii",72.0,0.0,72.0,0.0,103,"005","2",2.0
"instrumentos biomédicos ii",False,"instrumentos biomédicos ii","circuitos elétricos ii",72.0,36.0,36.0,0.0,104,"005","2",1.0
"instrumentos eletromédicos",False,"instrumentos eletromédicos","circuitos elétricos ii",72.0,12.0,60.0,0.0,105,"005","2",2.0
